	H3K4me3	H3K4me1	H3K27ac	H3K27me3	H3K9me3	H3K36me1	H3K36me3	H3K79me1	H3K79me2	H3K79me3
51700	-0.1306	1.504	0.1571	-0.4261	0.6743	3.081	0.29	2.25	1.127	0.5242
51900	-0.2459	0.8954	0.7442	-0.3553	1.237	3.148	0.2702	2.239	1.09	0.8355
52100	-0.1127	0.5702	0.5578	-0.5713	0.4272	2.71	0.6904	2.58	0.6195	0.4886
52300	0.03546	0.3395	-0.1736	-0.9864	0.5164	3.461	0.6589	2.962	-0.06867	-0.2798
52500	-0.2138	0.3195	-0.1992	-1.213	0.01694	2.366	0.3997	2.12	-0.3481	-0.4559
52700	-0.9663	0.1179	-0.07832	-1.164	-0.1237	0.7616	-0.07324	1.111	-0.5842	-0.6246
52900	-0.6672	-0.182	0.3087	-0.9739	0.6255	2.743	0.144	3.514	-0.1558	-0.1511
53100	0.1003	0.3334	-0.096	-0.9644	-0.3674	2.861	0.7357	3.741	0.3671	-0.1375
53300	-0.5739	0.4326	-0.2292	-0.7923	-0.3241	3.088	0.509	2.036	-0.3318	-0.4093
53500	-0.135	0.5066	-0.3368	-0.9402	0.07759	1.904	0.7866	2.144	-0.3185	-0.7263
53700	-0.8893	-0.5288	0.2801	-0.6944	-0.1104	0.95	0.5701	1.138	-0.3219	-0.5345
53900	-0.8114	-0.5759	0.2258	-1.066	-0.2364	0.437	0.7074	1.99	-0.3531	-0.6097
54100	-0.05807	-0.05237	-0.5261	-1.145	-0.6052	0.1609	1.397	1.685	-0.5162	-0.5018
54300	-0.398	-0.5419	-0.4215	-0.9859	-0.5773	0.9248	0.7113	1.633	-0.4287	-0.7029
54500	-0.3693	-0.1699	-0.1275	-0.5843	0.1612	1.558	0.09369	1.795	-0.4671	-0.5464
54700	-0.2622	0.4832	-0.9493	0.08215	0.03309	2.263	0.2695	2.08	-0.2699	-0.0643
54900	-0.2136	0.6867	-0.5638	-0.1167	-0.1416	1.893	-0.2373	0.9432	-0.3124	-0.3566
55100	-0.3478	-0.6145	-0.7497	-0.4723	-0.7211	0.4599	-0.3764	-0.3225	-0.6854	-1.008
55300	-0.7803	-1.085	-0.9084	0.2672	-0.3545	-0.1545	-0.3923	-0.5935	-0.9408	-1.075
55500	0.1509	-0.08985	-0.6606	1.674	0.6353	1.089	0.0968	0.6299	-0.6529	-0.4157
55700	0.0768	-0.2848	-0.8552	1.312	0.664	-0.269	0.2802	-0.1526	-0.5923	-0.5792
55900	-0.01953	-0.4909	-0.6558	1.057	0.7601	0.3324	-0.204	0.03925	-0.6226	-0.4827
56100	0.1674	-0.01997	-0.5812	1.084	0.3164	0.303	-0.0767	0.363	-0.801	-0.4513
56300	0.3208	-0.146	-0.7583	1.068	0.2864	0.3184	-0.08983	-0.08981	-0.6659	-0.6443
56500	0.4016	-0.883	-0.602	1.052	0.08165	-0.3004	-0.5269	-0.323	-0.5966	-0.8118
56700	0.2765	-0.803	-0.7981	1.302	0.05321	-0.3117	-0.1124	0.2134	-0.6222	-0.3593
56900	0.3606	-0.6174	-0.5234	1.556	0.05668	-0.2346	0.08083	0.754	-0.6234	-0.5046
57100	-0.1567	-0.5471	-0.9295	1.331	0.2008	0.4105	-0.4136	0.6482	-0.7138	-0.5816
57300	0.05349	-1.071	-0.928	0.5784	-0.2812	-0.5307	-0.2927	-0.2497	-0.8242	-0.406
57500	0.19	-0.7634	-0.5318	0.07948	-0.03191	-0.1473	-0.5786	-0.4721	-0.7103	-0.5319
57700	0.02719	-0.8586	-0.4056	1.715	0.5671	0.6933	-0.5984	0.5341	-0.5309	-0.5612
57900	-0.7747	-1.223	-0.401	0.5369	0.1078	-0.5381	-0.492	-0.4458	-0.7381	-1.053
58100	-0.1395	-0.2447	-0.3894	0.9726	0.4964	0.3852	-0.5346	-0.2128	-0.4074	-0.516
58300	-0.137	-0.1747	-0.3485	1.275	-0.1732	-0.2409	-0.2588	-0.3393	-0.5188	-0.3718
58500	0.4535	-0.5058	-0.5626	0.6151	0.08492	-0.4362	-0.2954	0.2298	-0.6368	-0.4302
58700	0.0549	-0.546	-0.6127	2.003	0.3497	0.1628	-0.3491	0.3548	-0.668	-0.5478
58900	-0.1756	-1.06	-0.7974	0.966	-0.1706	-0.2907	-0.37	-0.1754	-0.7384	-0.5035
59100	0.2776	-0.8959	-0.6852	2.33	0.9684	-0.3631	-0.2374	-0.1189	-0.7831	-0.538
59300	-0.1364	-0.8634	-0.361	1.891	0.9204	-0.6417	-0.2723	0.2487	-0.55	-0.6407
59500	0.2051	-0.8753	-0.7439	1.741	0.3285	-0.2221	-0.3197	0.7017	-0.7324	-0.3464
59700	0.05428	-0.7204	-0.4994	2.851	1.703	0.03266	-0.2886	0.4722	-0.652	-0.4387
59900	-0.08613	-1.144	-0.7664	0.107	0.4574	-0.09438	-0.3093	-0.4827	-0.7977	-0.5705
60100	0.01223	-0.9762	-0.7585	1.18	0.2613	-0.1409	-0.3003	0.3523	-0.7758	-0.3245
60300	-0.2412	-1.077	-0.515	1.289	-0.4065	-0.2224	-0.4322	-0.3152	-0.6899	-0.6698
60500	-0.3083	-0.725	-0.4684	1.375	0.6673	0.6873	-0.3865	0.1041	-0.6899	-0.647
60700	-0.09475	-0.9371	-0.6847	1.045	-0.141	0.1518	-0.2529	0.1771	-0.542	-0.6211
60900	-0.02428	-1.088	-0.5919	1.198	0.477	0.08449	-0.3824	0.1624	-0.8044	-0.7405
61100	0.2253	-0.698	-0.4821	1.065	-0.2191	-0.181	-0.1314	0.2356	-0.6613	-0.6985
61300	-0.1306	-0.8399	-0.5303	0.8942	-0.2829	-0.6545	-0.3728	-0.5789	-0.8339	-0.7014
61500	0.2135	-0.5619	-0.5122	1.764	0.01337	-0.2488	-0.3205	0.2677	-0.6845	-0.6045
61700	0.07065	-0.9471	-0.6539	0.04852	-0.07472	0.05142	-0.2162	-0.3631	-0.5858	-0.5482
61900	0.06871	-0.9671	-0.9437	0.1609	-0.05916	-0.03408	-0.2748	-0.4368	-0.7505	-0.8304
62100	-0.3376	-0.7048	-0.6823	0.6065	0.1623	-0.08551	-0.5331	-0.3594	-0.7056	-0.6665
62300	-0.1521	-0.7554	-0.6378	0.7865	0.1377	0.3401	-0.5612	-0.1413	-0.5996	-0.6178
62500	-0.4006	-0.4709	-0.6572	1.296	-0.1847	-0.2002	-0.4438	-0.1427	-0.7165	-0.6182
62700	-0.3224	-0.7562	-0.6782	0.6577	0.07768	-0.369	-0.467	-0.1419	-0.8378	-0.5119
62900	-0.09994	-1.043	-0.3267	-0.1275	-0.1919	-0.3454	-0.5218	-0.4453	-0.8035	-0.9179
63100	-0.8819	-0.8941	0.01129	0.3426	0.1376	-0.2475	-0.4832	-0.06627	-0.6873	-0.5624
63300	-0.3437	-0.8202	-0.3301	0.3288	0.644	0.5845	-0.5028	0.3923	-0.6617	-0.5345
63500	0.2226	-0.755	-0.7087	0.6403	-0.1042	-0.4724	-0.2565	0.001101	-0.774	-0.7439
63700	-0.2733	-0.8439	-0.6039	0.6764	-0.09761	-0.2331	-0.2054	-0.1071	-0.6177	-0.8544
63900	-0.4234	-1.281	-1.029	-0.05174	-0.2815	-0.4192	-0.4669	-0.7968	-0.7802	-0.7614
64100	-0.4378	-1.059	-0.3846	0.145	-0.1305	0.2408	-0.5955	-0.763	-0.5042	-0.8999
64300	-0.6631	-0.7653	-0.3576	0.09716	-0.3463	-0.121	-0.3812	-0.2879	-0.7334	-0.713
64500	-0.7657	-0.8992	-0.7108	-0.04114	-0.3436	-0.3481	-0.5043	-0.4238	-0.7076	-0.6811
64700	-0.2992	-1.058	-0.6233	-0.6607	-0.4143	0.4368	-0.5433	-0.1837	-0.8116	-0.6702
64900	-0.3042	-0.5335	-0.3499	0.2009	-0.468	-0.2127	-0.4803	-0.4507	-0.6941	-0.7877
65100	-0.3165	0.6236	-0.329	-0.8112	-0.5344	0.258	-0.4194	-0.577	-0.4817	-0.6501
65300	0.4005	1.821	-0.4437	-0.5257	0.5876	0.6893	-0.4243	0.7421	0.002121	-0.383
65500	1.068	3.347	0.4807	0.5648	1.431	1.902	-0.4771	3.395	0.9879	0.9214
65700	0.3692	2.273	-0.2424	0.4216	0.5718	1.064	-0.4525	1.717	0.7808	0.72
65900	-0.2397	1.493	-0.2984	0.129	0.1039	0.4282	-0.318	0.5204	0.2044	0.2362
66100	0.1133	1.26	-0.4652	0.5014	0.8352	0.557	-0.2441	1.066	0.7009	0.7689
66300	0.03968	0.5072	-0.6452	0.8348	1.759	0.3718	-0.103	1.265	0.6777	0.9761
66500	-0.1664	-0.1043	-0.8394	0.1212	3.095	0.2683	-0.1219	1.155	0.5811	1.032
66700	-0.2707	-0.691	-0.9051	-0.1266	2.231	-0.293	-0.354	0.377	0.1639	0.7322
66900	-0.04329	-0.3673	-0.7281	0.1902	1.91	-0.1099	-0.283	0.7044	0.1725	0.3955
67100	0.3546	-0.5358	-0.5722	0.948	2.865	1.142	0.008476	1.988	0.373	0.8994
67300	-0.1207	-0.145	-0.7225	1.046	1.852	0.4514	-0.05744	1.504	0.1775	0.6229
67500	0.007566	0.634	-0.5688	1.49	3.023	1.267	-0.3152	2.034	0.4416	0.7679
67700	0.08472	0.9196	-0.1323	0.6948	2.331	1.568	-0.3765	2.972	0.8078	0.9213
67900	-0.1453	1.423	-0.3571	-0.4766	0.9183	1.024	-0.2727	2.061	0.7739	0.8674
68100	-0.4923	1.054	-0.03427	0.5346	0.5848	0.7867	-0.1099	2.409	0.8235	0.7846
68300	0.1508	-0.0694	-0.5179	-0.03199	0.1396	0.5474	0.03553	0.8971	0.324	0.3071
68500	0.01267	-0.1075	-0.4514	-0.4375	-0.04539	0.7986	-0.236	0.5014	0.2655	-0.00451
68700	0.03414	0.578	-0.1206	-0.08886	0.1024	1.358	-0.267	3.458	0.8804	0.4826
68900	0.3635	1.22	0.5604	-0.2359	0.2787	1.755	-0.2663	2.648	0.7381	0.4156
69100	-0.02956	1.589	-0.102	-0.1688	0.07223	2.011	-0.4368	2.037	1.015	0.7134
69300	-0.3421	1.739	0.1025	-0.34	0.1883	1.828	-0.6095	1.229	0.784	0.885
69500	-0.3966	1.741	0.9159	-1.083	-0.6129	0.6978	-0.5841	-0.03516	0.6473	0.6712
69700	-0.2929	1.498	1.395	-1.019	-0.4028	0.4459	-0.5933	0.2191	1.232	0.8491
69900	0.1311	1.904	1.493	-1.077	-0.7495	-0.04669	-0.4366	0.07842	1.324	0.9462
70100	0.5561	0.141	-0.619	-0.9994	-0.3649	-0.6658	-0.5647	-1.224	0.7214	-0.002186
70300	3.136	0.5141	2.936	-1.154	-0.3861	0.1648	-0.6203	-0.4862	2.438	2.354
70500	2.383	1.518	2.368	-1.274	-0.4954	1.662	-0.4842	-0.931	2.621	3.442
70700	0.3896	2.265	1.61	-1.281	-0.2313	2.533	-0.5761	-0.6582	2.525	3.238
70900	-0.1122	2.582	1.612	-0.8713	-0.04004	3.122	-0.5266	-0.8208	2.778	3.464
71100	-0.1934	1.661	0.3611	-0.7726	-0.02596	2.747	-0.4267	-0.9741	2.503	2.218
71300	0.4263	1.839	0.2015	-1.082	-0.125	2.475	-0.3665	-1.078	2.625	2.336
71500	0.3658	1.955	0.7079	-0.9432	-0.2291	2.346	-0.2768	-1.062	2.573	2.622
71700	-0.3501	0.6083	0.4672	-1.236	-0.8153	1.457	-0.3218	-1.515	1.461	1.095
71900	-0.1121	1.377	0.2592	-1.046	0.01575	1.777	0.1836	-0.9122	2.778	2.421
72100	-0.1798	1.205	0.7584	-0.7973	-0.6044	1.233	0.6806	-1.106	2.173	2.177
72300	-0.2276	1.661	1.515	-1.327	0.4592	1.615	0.8905	-0.8831	2.918	3.723
72500	-0.2761	1.531	0.5961	-0.7695	-0.0111	0.4164	1.433	-0.7116	2.878	3.348
72700	0.3151	0.6407	-0.127	-1.207	-0.4237	-0.2519	3.548	-1.098	2.062	2.764
72900	0.53	1.537	0.02727	-0.5905	-0.2086	0.02984	3.023	-0.7659	3.098	3.228
73100	-0.2135	1.166	0.4236	-0.9941	-0.1257	0.4001	2.314	-0.7603	3.283	3.409
73300	-0.9076	1.013	0.7452	-1.155	-0.1498	0.03297	1.438	-0.9869	1.93	2.747
73500	-0.7987	1.11	0.6115	-1.507	-0.5394	-0.108	0.7111	-1.361	2.14	1.649
73700	0.1148	0.9976	-0.07898	-1.42	-0.03637	-0.05808	3.729	-0.8908	3.165	2.753
73900	-0.1818	0.4987	0.1922	-1.224	-0.3784	0.1368	1.117	-0.7732	1.757	1.887
74100	-0.8638	0.9988	0.505	-1.272	-0.6362	0.3257	0.5633	-0.9811	1.689	2.094
74300	-0.2887	0.9888	-0.1272	-0.9445	0.3345	0.5548	0.4239	-0.7003	2.38	2.081
74500	-0.3053	1.615	-0.04524	-1.049	-0.4351	0.9347	0.1796	-1.218	2.204	1.653
74700	-0.04777	3.074	0.2609	-1.015	-0.003768	0.5634	1.925	-0.7126	2.508	2.467
74900	-0.7534	0.6438	-0.4425	-1.183	-0.691	0.3947	1.04	-1.206	1.903	1.99
75100	-0.8114	-0.5111	-0.1784	-1.38	-0.7489	-0.6498	0.9002	-1.726	0.8382	0.849
75300	-0.2788	0.5412	-0.3617	-1.266	-0.5401	-0.2308	2.567	-1.086	2.06	2.564
75500	-0.7057	0.3867	-0.09865	-1.114	-0.5043	-0.7944	1.342	-1.241	2.17	1.943
75700	-1.047	-0.1629	0.1742	-1.229	-0.5557	-0.2413	1.087	-1.469	1.646	1.538
75900	-0.6594	0.3125	0.2094	-1.181	-0.5017	-0.4187	1.268	-1.253	1.803	1.518
76100	-0.2528	-0.08096	0.06508	-1.277	-0.3063	-0.6818	1.655	-1.097	1.63	1.713
76300	-0.2374	0.1662	0.1053	-1.396	-0.1493	0.1052	1.584	-1.111	2.185	2.443
76500	-0.77	-0.5098	-0.1249	-1.367	-0.2269	0.2236	0.3104	-1.219	1.769	1.615
76700	-0.7005	-0.5792	0.3352	-1.387	-0.2475	-0.0112	0.6655	-1.071	1.533	1.702
76900	-0.2133	0.6386	0.3974	-1.206	-0.2748	0.5515	2.048	-0.5357	2.46	2.608
77100	-0.1654	0.9209	-0.2506	-1.377	0.07709	0.6927	2.07	-0.6913	2.135	1.696
77300	-0.8346	-0.3187	0.2051	-1.578	-0.003174	-0.1753	0.2933	-1.249	1.338	1.181
77500	-0.9602	0.4786	0.5068	-1.194	-0.003669	-0.03398	0.31	-1.254	1.866	1.606
77700	-0.8464	0.9184	0.6461	-1.261	-0.3376	0.3558	0.8738	-0.5455	2.127	2.43
77900	-0.3044	1.223	-0.3266	-0.8058	-0.2479	1.789	0.8842	-0.7839	2.124	2.017
78100	-0.326	1.515	-0.02746	-0.6517	-0.3026	2.948	0.409	-0.7899	2.669	2.038
78300	-0.807	0.287	-0.0563	-1.217	-0.6299	2.157	-0.2698	-0.7629	1.334	0.5569
78500	-0.9656	-0.421	-0.3745	-1.351	-0.4071	1.606	-0.3773	-0.6469	0.704	0.006951
78700	-0.6687	-0.08159	-0.2192	-1.228	-0.6567	1.886	-0.2152	0.08496	1.925	1.283
78900	-1.113	-0.07765	0.02982	-0.8375	-0.313	1.573	-0.5495	-0.8594	0.5131	0.5208
79100	-0.8207	0.1474	0.1287	-0.9745	0.3512	1.784	-0.1873	-0.1914	1.41	0.9377
79300	-0.3945	0.5613	0.002313	-0.5184	0.1795	1.682	0.6916	0.4414	1.696	1.366
79500	-0.8446	0.3114	0.02491	-0.9758	-0.313	0.7273	1.009	-0.03479	1.478	1.395
79700	-0.9697	1.015	0.9997	-1.289	-0.3117	0.9055	1.329	0.9	1.476	1.38
79900	-1.092	0.1054	0.2267	-1.603	-0.7635	0.08973	0.562	1.078	0.5703	0.4323
80100	-0.9773	-0.08032	0.2891	-1.26	-0.3864	0.183	0.41	0.5708	0.5937	0.2111
80300	-0.5283	-0.4624	0.2995	-1.051	-0.008921	0.4199	0.7627	0.8352	0.3697	0.001822
80500	-0.4198	0.4001	0.2153	-0.8847	-0.03498	1.427	0.2762	1.746	0.5546	0.3046
80700	-0.6784	-0.2675	0.2567	-1.36	-0.02606	1.912	-0.2301	0.4647	-0.1052	-0.3298
80900	-0.5647	0.386	0.04844	-1.313	-0.01705	3.192	0.5206	2.063	0.1634	-0.3811
81100	-0.8253	0.2683	0.352	-1.191	-0.6116	1.677	0.1678	1.316	-0.03041	-0.3521
81300	-0.7402	0.5468	0.1823	-0.3776	0.06698	0.5039	1.697	1.511	0.2024	-0.2005
81500	-0.9656	0.7834	0.6846	-1.03	-0.4024	0.384	0.6071	0.8839	0.04069	-0.2466
81700	-0.9435	1.073	-0.00629	-1.389	-0.2066	-0.1466	0.5679	0.8461	0.1581	0.04903
81900	0.1135	1.21	0.2576	-1.082	-0.4492	0.2602	2.656	1.862	1.29	1.02
82100	-0.005015	0.5496	-0.1885	-0.748	-0.6931	-0.5156	2.923	0.3262	0.8725	0.9076
82300	-0.5585	-0.3253	-0.1625	-1.025	-0.5958	-0.26	1.379	-0.0747	0.1548	0.05905
82500	-0.7113	-0.4369	-0.1946	-1.125	-0.6897	-0.5004	0.4881	0.08219	0.7288	0.2375
82700	-0.8446	-0.6334	0.09921	-1.204	-0.711	-0.2481	0.4763	-0.6748	0.4334	-0.01934
82900	-0.7755	-0.506	-0.2594	-1.261	-0.6877	-0.9656	0.2076	-0.2812	0.03404	-0.3221
83100	-0.688	-0.779	-0.2864	-1.441	-0.7726	-0.3008	1.011	-0.0703	0.3614	-0.02655
83300	0.2507	-0.09239	-0.1204	-0.7518	-0.2651	0.2951	2.306	0.351	0.7023	0.6263
83500	-0.6854	-1.085	-0.8017	-1.349	-0.4569	-0.02945	1.539	-0.4376	0.3771	-0.05701
83700	-0.858	-0.263	-0.3289	-1.152	-0.3388	0.2242	0.931	-0.08075	0.5781	0.4732
83900	-0.5294	0.04483	-0.1767	-1.256	-0.2085	0.7732	0.4965	0.7454	0.7329	0.2969
84100	-0.5502	-0.5814	-0.5257	-1.285	-0.3992	-0.3097	0.55	-0.5329	0.05222	-0.3758
84300	0.4052	0.01052	-0.5743	-1.514	-0.5456	-0.2354	2.897	0.5319	0.72	0.4638
84500	-0.03238	-0.4084	-0.5012	-1.094	-0.565	-0.05496	2.637	0.3509	0.8742	0.6742
84700	-0.1948	0.03517	-0.2888	-0.8541	-0.3566	-0.1644	1.733	0.2299	0.6412	0.8165
84900	-0.2214	-0.1309	-0.2624	-1.225	0.01754	-0.1709	2.957	0.5074	1.209	1.412
85100	0.185	-0.4794	-0.7467	-1.301	-0.2799	0.4376	3.241	1.088	1.42	1.169
85300	0.2038	-0.2971	-0.6783	-1.243	-0.5034	0.3952	2.456	0.2781	1.359	1.127
85500	-0.06	0.3203	-0.4367	-1.139	-0.01288	0.7321	1.688	0.3971	1.155	1.483
85700	-0.3647	0.3697	0.2346	-1.446	-0.1951	1.465	0.8439	-0.2208	1.635	1.329
85900	-0.3566	0.5274	0.1807	-1.577	-0.3711	1.603	0.8007	-0.4858	1.473	1.369
86100	0.1496	2.034	0.1285	-1.033	-0.4294	2.501	0.1158	-0.099	1.56	1.619
86300	-0.09167	3.306	0.938	-0.8177	-0.2555	2.405	-0.3871	0.2315	1.654	1.17
86500	-0.07628	2.16	0.1046	-0.7463	-0.3445	1.176	-0.1024	0.637	1.026	0.383
86700	-0.2849	1.39	-0.1544	-1.371	-0.4814	2.075	-0.1802	0.2322	0.5793	0.3354
86900	-0.5895	0.4852	-0.3543	-1.206	-0.2261	0.6547	-0.1671	0.1217	0.516	0.1809
87100	-0.1873	0.6945	-0.04164	-1.116	-0.4501	1.115	1.832	2.056	0.9886	0.7917
87300	-0.9726	-0.2478	-0.2765	-1.08	-0.2953	-0.6763	0.5018	0.05185	0.148	-0.2696
87500	-0.6991	-0.5404	-0.258	-1.142	-0.2574	-0.1794	0.8716	0.7326	0.1994	-0.1679
87700	-0.009326	0.7419	-0.2166	-1.005	-0.1641	1.257	1.244	1.464	0.5973	0.618
87900	-0.722	0.6555	-0.3089	-1.026	0.09651	0.9527	0.4934	1.09	0.9478	0.1514
88100	-0.4907	1.486	-0.01319	-1.256	-0.3473	1.226	0.7067	1.304	0.6698	0.1122
88300	0.1226	1.729	-0.255	-0.9679	0.2544	1.155	2.061	2.75	0.9864	0.9733
88500	-0.08516	0.8761	0.03455	-0.8525	0.05113	0.8811	2.788	2.852	0.7653	0.8585
88700	-0.2833	0.8458	-0.2887	-1.099	-0.4039	1.001	1.085	0.729	0.4146	0.01264
88900	-0.621	0.5541	0.09164	-0.9927	-0.8265	1.58	0.5565	0.3889	0.3657	0.01913
89100	-0.2111	1.154	-0.2459	-1.362	-0.196	1.162	0.1894	0.449	0.05649	-0.2439
89300	-0.5629	0.8821	-0.4779	-1.159	-0.5748	0.5919	0.3117	0.5257	-0.05179	-0.1575
89500	-0.5015	0.9252	0.1356	-1.062	-0.3222	0.1987	1.55	2.293	0.2647	0.3361
89700	-0.8792	-0.7183	-0.3496	-1.473	-0.692	-0.6484	-0.2696	0.1406	-0.3248	-0.5948
89900	-0.8269	-0.8448	-0.4383	-0.9883	-1.086	-0.6114	0.1894	0.4412	-0.3218	-0.5509
90100	-0.6446	-0.4125	-0.5531	-1.243	-0.4893	0.3655	1.318	1.323	0.06879	0.01633
90300	-1.001	-0.5786	-0.2428	-1.487	-0.4493	0.2295	0.5663	0.3494	-0.3177	-0.6502
90500	-0.01601	2.087	-0.4565	-1.129	-0.4168	1.818	2.653	3.725	0.824	0.5569
90700	-0.6354	0.371	-0.06376	-1.088	-0.4185	0.5172	0.6965	2.483	0.001205	-0.2553
90900	-1.027	0.2646	0.5044	-0.7504	0.2054	1.621	-0.3274	1.547	-0.2935	-0.5495
91100	-0.7442	0.5137	0.02122	-1.071	0.5921	2.094	-0.2973	1.057	-0.3351	-0.5664
91300	-0.6532	1.217	-0.1261	-1.276	-0.2601	1.692	-0.1582	1.436	-0.6046	-0.3889
91500	0.2858	1.408	0.01366	-1.037	-0.4673	1.829	1.06	2.657	0.1082	-0.01629
91700	0.04329	1.988	0.04788	-0.9577	-0.6663	1.369	0.661	2.772	0.3384	-0.1689
91900	-0.3043	1.534	0.2111	-0.8858	-0.4569	2.422	-0.2093	0.8809	-0.186	-0.5792
92100	-0.3829	1.199	0.1396	-0.8302	-0.07264	4.343	-0.2049	0.844	-0.2558	-0.474
92300	0.4219	1.928	0.3515	-1.153	-0.01655	2.931	0.1777	2.998	0.3635	0.004306
92500	0.396	2.273	0.8283	-0.9243	0.6131	2.568	1.024	2.847	0.1563	0.2449
92700	-0.2396	-0.1225	0.4907	-1.399	-0.3368	0.9891	0.3156	2.142	-0.4536	-0.5737
92900	-0.07329	0.7176	0.4471	-0.9555	-0.1501	1.3	0.3115	1.361	-0.3169	-0.4442
93100	0.5734	0.2372	1.825	-0.7561	0.4901	2.288	0.5457	1.957	-0.1697	-0.5198
93300	2.105	0.1551	1.644	-0.287	-0.01824	1.389	1.687	2.739	0.009299	0.02779
93500	1.701	-0.06076	0.7428	-1.128	0.007925	0.8365	1.664	2.815	-0.066	-0.03697
93700	1.001	0.1707	-0.2391	-1.39	0.3561	1.274	3.129	1.928	-0.2651	-0.1628
93900	0.9875	-0.6506	-0.1252	-1.31	-0.08423	1.065	2.643	1.312	-0.3791	0.1346
94100	-0.05939	0.1131	0.1716	-1.095	-0.1785	0.7627	2.534	2.44	-0.2349	-0.2215
94300	-0.1581	-0.2055	-0.3247	-0.862	-0.2089	1.139	2.24	2.68	-0.423	0.03428
94500	0.9239	0.1471	-0.1109	-0.4776	-0.1927	1.188	3.376	3.186	-0.08746	0.04711
94700	-0.1942	0.6233	0.2311	-0.7486	-0.1932	1.85	1.194	1.744	-0.341	-0.3843
94900	-0.2147	0.5744	0.04665	-0.9618	-0.5635	1.615	0.3254	1.204	-0.2237	-0.3515
95100	0.002903	1.495	-0.1573	-0.9033	-0.4221	1.237	0.3496	1.822	-0.2708	-0.3383
95300	-0.2514	1.847	0.5166	-0.3526	-0.03954	3.486	-0.2257	3.119	-0.002079	-0.2633
95500	-0.6316	1.399	0.3604	-1.324	-0.4988	4.148	-0.5136	1.333	-0.2742	-0.5438
95700	-0.8589	1.785	0.5849	-0.8939	0.1129	5.541	-0.4399	1.146	-0.2764	-0.5801
95900	-0.5498	2.728	1.062	-0.4139	-0.324	4.245	-0.6141	1.16	-0.1618	-0.4771
96100	-0.04848	1.301	0.6137	-1.279	-0.1348	4.143	-0.4019	0.7037	0.08177	-0.7453
96300	0.9029	2.333	2.362	-1.201	-0.2893	3.814	-0.3044	1.865	0.2721	-0.11
96500	1.181	3.477	2.063	-1.019	0.001682	5.077	0.01697	2.743	1.068	0.4909
96700	0.5396	3.548	1.409	-1.105	-0.3133	3.557	1.063	2.324	1.263	0.9001
96900	-0.05859	1.944	0.2613	-1.524	-0.4667	0.7496	2.727	0.6189	0.7332	0.7939
97100	-0.9463	0.5548	0.162	-1.368	-0.3472	-0.3558	0.4059	-0.5832	0.6511	0.1382
97300	-0.5541	1.301	0.2908	-1.301	-0.3329	0.1323	1.066	0.4043	0.6589	1.072
97500	-0.4234	1.099	-0.09808	-1.108	-0.4439	-0.09781	0.8091	-0.4634	0.7214	0.5273
97700	0.08833	0.8576	0.07633	-1.153	0.237	-0.2398	2.309	0.8344	1.478	1.342
97900	0.02824	0.8363	0.4848	-1.086	-0.04965	0.2764	2.255	1.306	1.163	1.345
98100	-0.3217	1.057	0.3755	-1.235	-0.7163	0.8648	0.8657	0.8824	1.101	0.7723
98300	-0.02701	0.3714	-0.1883	-1.042	-0.1662	0.05747	2.353	-0.01489	1.154	0.6305
98500	0.04487	0.9067	-0.1014	-1.093	-0.03786	0.6416	4.308	1.518	1.382	1.369
98700	0.2248	-0.08744	-0.671	-0.9095	-0.4581	-0.4633	4.436	0.7707	0.9484	1.208
98900	-0.1968	-0.291	-0.9964	-1.075	-0.02289	-0.6194	4.937	0.7197	0.9215	1.428
99100	-0.2884	-0.3089	-0.7034	-1.385	0.1525	-0.6283	2.415	0.5403	1.2	1.113
99300	-0.426	-0.3243	-0.1902	-0.8861	-0.3798	-0.1639	1.36	-0.2709	0.9781	0.4503
99500	-0.3616	0.4565	0.03275	-1.453	-0.8372	-0.1479	1.24	-0.008595	1.351	0.7935
99700	0.0812	0.4424	0.03748	-0.9681	-0.2174	0.972	2.574	1.065	1.562	1.29
99900	-0.6046	-0.109	-0.4565	-1.495	-0.2913	-0.1791	0.5463	-0.1498	0.396	0.2254
